school_ID,age_yrs,sex,weigth,height,BMI,cran_vol,head_circumference,birth_weight,birth_heigth,birth_head_circumference,M_birth_age,mothers_nationality,mothers_height,mothers_weight,dads_nationality,dads_height,N_sibs,birth_order,cohab_3,2_providers_OK,Two_providers,cohabitance,n_providers,two_paretnal_figures,parents_together,two_parents,parents_alive,dads_education,Feduc_3,Feduc_1,mothers_edu,Meduc_3,Max_edu_3,family_income,personal_estimate_of_resources,Resources_reported,enough_food,lacking_meat,lacking_fruit,lacking_milk_meat,lacking_vegs,estimate_of_educational_success,grades,smoking,alcohol,Mo-smokes,dad_smokes,engages_in_sport,Oma_toas_inimesi,Laste_arv_peres...150,underage_children,people_in_dwelling,height_rzs,BMI_rzs,cran_vol_rzs,head_circ_rzs
5,13.528767,2,37.15,154.7,15.523091,1260.252,55.4,3200,50,36,29.3,1,164,60,1,174,1,1,2,1,1,1,2,1,1,1,1,6,3,0,6,3,3,NA,4,1,3,0,0,1,0,NA,4,0,0,0,0,0,2,2,NA,4,-0.954594647471518,-1.2995510383225,1.33342603370967,0.192140216380684
5,13.980822,2,58.9,166.5,21.246472,1239.063,55.9,3050,58,NA,20.2,1,168,68,1,186,1,1,2,1,1,1,2,1,1,1,1,6,3,0,5,3,3,NA,3,1,4,0,0,0,0,NA,6,0,0,0,0,1,1,2,NA,4,0.616191595520493,0.774769115363061,1.00056902864878,0.367024975129354
5,13.257534,1,41.3,158.5,16.43961,1301.299,55.4,3700,52,NA,24.5,1,164,58,1,183,1,1,2,1,1,1,2,1,1,1,1,NA,NA,NA,6,3,3,NA,4,1,4,0,1,0,0,NA,5,0,0,0,3,1,2,2,NA,5,-0.101813863139071,-0.579775357051168,0.618900770608783,0.269844912981788
5,13.323288,1,50.4,158.5,20.061897,1347.557,58.5,NA,NA,NA,33.1,1,180,NA,1,180,2,2,2,1,1,1,2,1,1,1,1,6,3,0,6,3,3,NA,3,1,0,0,1,0,0,NA,4,0,0,0,0,1,2,3,NA,5,-0.161310410252756,0.822051494811198,1.17767911207961,2.19747364720686
5,13.147945,1,34.8,149.4,15.591146,1128.907,51.5,3810,50,35,23.3,1,168,63,NA,NA,1,2,0,0,0,0,1,0,0,0,3,NA,NA,NA,4,2,2,NA,3,1,0,1,0,2,0,NA,5,1,1,1,NA,1,3,2,NA,NA,-1.27314505904898,-0.901978264848279,-1.49688676610228,-2.14888821543416
5,13.394521,1,46.6,158.9,18.456023,1319.975,55.5,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,2,1,1,1,2,1,1,1,1,6,3,0,6,3,3,NA,3,1,4,0,0,0,0,NA,5,0,0,1,0,0,2,2,NA,4,-0.17122610430687,0.191377142120811,0.817339190757244,0.300620214695469
5,13.517808,1,53.7,164.4,19.868755,1237.945,53.9,NA,NA,NA,27.2,1,157,41,1,180,2,2,2,1,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,4,1,3,0,0,0,0,NA,3,0,0,0,2,1,1,3,NA,4,0.477945730581044,0.726973366514489,-0.23127676316344,-0.731553883416204
5,13.150685,1,56.1,161.9,21.40273,1297.133,55.2,3550,50,NA,23.9,1,167,58,1,182,1,1,2,1,1,1,2,1,1,1,1,3,2,0,6,3,3,NA,3,1,4,0,0,0,0,NA,4,0,0,0,1,1,1,2,NA,4,0.466088026892757,1.35586380801033,0.594748154563987,0.169468401799497
5,15,1,75.2,174,24.838156,1282.12,56.8,2850,46,NA,34.7,1,173,70,1,178,1,5,2,1,1,1,2,1,1,1,1,3,2,0,3,2,2,NA,3,1,3,0,0,0,0,NA,3,2,2,0,0,0,1,5,NA,4,0.253813147575128,1.99926053144665,-0.263213371051623,0.379531540721423
5,13.367123,1,42.85,162.7,16.187349,1247.283,54.3,NA,NA,NA,26.1,1,164,70,1,187,2,2,2,1,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,3,1,3,0,0,0,0,NA,3,0,1,0,0,0,3,3,NA,5,0.383657232700241,-0.687414286210036,-0.0802332395779147,-0.44511224814595
